"Goods Shipped","Gross Weight (t)"
"42 BAG CONTAINING UN3265, CORROSIVE LIQUID   ACIDIC, ORGANIC,N.O.S.(ETHEPHON   SOLUTION)CL 8, PG III","51.69"
"03 X 40´ X 8´ X 8´6"" GENERAL PU SLAC 120 PALLETS IBC FLEXIBLE PLASTICS UN 13H4 TRIFLOXYSTROBIN TC","64.91"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 14 PACKAGE 3 PALLET 189 CARDBOARD BOX BEPANTOL SENSICALM CREA TUBE 1 PALLET 58 CARDBOARD BOX BEPANTOL SENSICALM CREA TUBE 275ML BR 9 PALLET 567 CARDBOARD BOX BEPANTOL SENSICALM CREA TUBE 275ML BR 1 PALLET 21 CARDBOARD BOX BEPANTOL SENSICALM CREA TUBE 275ML BR","3.64"
"36 BAGS ON 18 PALLETS UN3077, ENVIRONMENTALLY HAZARDOUS SUBSTANCE SOLID, N.O.S. TEBUCONAZOLE CLASS 9, PGIII","18.61"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 20 PACKAGE 1 PALLET, HEAT TREATED 20 FIBREBOARD BOXES BAYTRIL FLAVOUR TABL 250MG 7 PALLET, HEAT TREATED ADVOCATE HUND 1X2.5 ML 1 PALLET, HEAT TREATED ADVOCATE HUND 1X2.5 ML 3 PALLET BAYCOX SUSPENSION 5% 1 L 1 PALLET BAYCOX SUSPENSION 5% 1 L 1 FIBREBOARD BOXES BAYCOX SUSPENSION 5% 1 L 1 PALLET BAYCOX SUSPENSION 5% 1 L 1 FIBREBOARD BOXES BAYCOX SUSPENSION 5% 1 L 5 PALLET 200 FIBREBOARD BOXES DRONTAL PLUS XL FLAVOUR 2 TABS 1 PALLET 38 FIBREBOARD BOXES DRONTAL PLUS XL FLAVOUR 2 TABS","2.68"
"03 X 40´ X 8´ X 8´6"" GENERAL PU SLAC 120 PALLETS IBC FLEXIBLE PLASTICS UN 13H4 TRIFLOXYSTROBIN TC","64.91"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 38 PACKAGE 37 WOODEN PALLET EUROPOOL 1184 WELLPAPPKISTE W1 XARELTO 10 MG 10 TABL 1 WOODEN PALLET EUROPOOL 20 WELLPAPPKISTE W1 C XARELTO 10 MG 10 TABL 1 WELLPAPPKISTE W1 C2 XARELTO 10 MG 10 TABL","3.5"
"03 X 40´ X 8´ X 8´6"" GENERAL PU SLAC 120 PALLETS IBC FLEXIBLE PLASTICS UN 13H4 TRIFLOXYSTROBIN TC","64.91"
"03 40´ X 8´ X 8´6"" GENERAL PU SLAC 120 PALLETS IBC FLEXIBLE PLASTICS UN 13H4 TRIFLOXYSTROBIN TC 9, III,","64.91"
"3 40´ X 8´ X 9´6"" HIGH CUBE SLAC 2,040 BUNDLE CONTAINING 12 PLASTIC BOTTLES INFINITO IMP SC687,5 12X1L BOT BR TOTAL UNITS 9600","30.72"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 16 PACKAGE (S) 8 PALLET, HEAT TREATED 16 STEEL DRUMS PROPOXUR 6 STEEL DRUMS FLUMETHRIN 1 PALLET, HEAT TREATED 1 STEEL DRUMS FLUMETHRIN 5 PALLET, HEAT TREATED 10 STEEL DRUMS COUMAPHOS 1 PALLET, HEAT TREATED 2 COMPOSITE PACKAGING CYFLUTHRIN 1 COMPOSITE PACKAGING CYFLUTHRIN","3.25"
"1 X 20  FCL CONTAINERS 20 WOODEN PALLETS PE LINED","20.49"
"IMIDACLOPRID TC","20.12"
"1X40ST CONTAINER SAID TO   CONTAIN 40 PACKAGE ETHIPROLE TC","20.32"
"20 FLEXIBLE IBC TRIFLOXYSTROBIN TC FBC BR","10.82"
"45 PALLETS 1320 FIBREBOARD BOXES UN 4G GLADIUM WG60 20X250GR BOT BR UN 3077, ENVIRONMENTALLY   HAZARDOUS SUBSTANCE,   SOLID, N.O.S.   (ETHOXYSULFURON MIXTURE),   9, III,","14.64"
"200 ZU PROLINE TECNICO FBC BR","108.16"
"140 BG EVIDENCE SPRAY WG70 FBC BR","75.91"
"37 PALLETS 1008 FIBREBOARD BOXES UN 4G   FORDOR WG75 UN 3077, ENVIRONMENTALLY   HAZARDOUS SUBSTANCE,   SOLID, N.O.S.   (ISOXAFLUTOLE MIXTURE), 9,   III,","12.15"
"2 X 20 FT CONTAINER 40 BAGS IN 40 PALLETS IMIDACLOPRID","25.51"
"CONTAINS 32 PALLET 560 CARTON 7EMPTY BOXES PLACED ON 32 HEAT TREATEDPALLETS CALCIUM GLUCONATE EP (FOR INJECTION)","16.14"
"1 X 20 FT CONTAINER 20 BAGS IN 20 PALLETS IMIDACLOPRID 70 WG","12.75"
"80 ZU BELT TC","43.22"
"11 PALLETS FEEDING STUFF","5.93"
"2 TANK BASTA TK50","49.32"
"40 FIBC ALSYSTIN TECNICO","21.63"
"20 PALETAS TRIFLOXYSTROBIN TC","10.82"
"200 ZU PROLINE TECNICO UMWELTGEFAEHRDENDER STOFF FEST","108.16"
"4 TANK BASTA TK50","98.92"
"400 BG PROTHIOCONAZOLE","11.25"
"8 PALLETS LOADED INTO 924 BG ANTRACOL 700 WP","24.46"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 2 PACKAGE (S) 2 WOODEN PALLET (EUROPOOL) 64 WELLPAPPKISTE W1 C","0.2"
"40 PACKAGE WITH SERENADE 4X5L BOT BR WITH SERENADE 4X5L BOT BR","28.18"
"752 CARTONS ACCESSORY FOR FAX AND,OR  MULTIFUNCTIONAL PRINTER,FAX,  COPIER  - INK CARTRIDGE MAGENTA  - INK CARTRIDGE BLACK  - INK CARTRIDGE CYAN  - INK CARTRIDGE YELLOW  - INK BOTTLE BLACK  - INK CARTRIDGE COLOR  - INK BOTTLE CYAN  - IN","7.94"
"ONE 40´ X 8´ X 8´6"" GENERAL PU SLAC 40 BAGS CARBENDAZIM TECHN","20.12"
"2-CHLORO-5-CHLOROPYRIDIN:E,1-(6-CHLORO-3-PYRIDIN-3- YLMETHYL)-N-NITROIMIDAZOLIDIN-2-YLIDENAMINE´","20.12"
"-CHLORO-5-CHLOROPYRIDIN:E,1-(6-CHLORO-3-PYRIDIN-3- YLMETHYL)-N-NITROIMIDAZOLIDIN-2-YLIDENAMINE´","20.12"
"2-CHLORO-5-CHLOROPYRIDIN:E,1-(6-CHLORO-3-PYRIDIN-3- YLMETHYL)-N-NITROIMIDAZOLIDIN-2-YLIDENAMINE´","20.12"
"108 BAG ON 18 PALLET UN3077 ENVIRONMENTALLY HAZARDOUS SUBSTANCE SOLID N.O.S. (TEBUCONAZOLE CLASS 9, PGIII MARINE POLLUTANT FOLICUR TECNICO","55.83"
"20 WOODEN PALLETS 80 PE LINED MS DRUMS OF CIPERMETRINA TECNICA NORTOX 92%MIN","20.49"
"10 PALLETS ENVIRONMENTALLY HAZARDOUS SUBSTANCE SOLID, N.O.S.","10.34"
"18 PALLETS ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N.O.S.","55.83"
"40´ CONTAINERS CONTAINING 160 DRUMS CARBAMATE PESTICIDE SOLID TOXIC","85.07"
"14 PALLETS ENVIRONMENTALLY HAZARDOUS SUBSTANCE SOLID, N.O.S.","14.48"
"320 DR UN2757, CARBAMATE PESTICIDE, SOLID,TOXIC THIODICARB CL 6.1, PG II","34.03"
"5 PALLET PERIDIAM QUALITY 316 - 1X1000L IBC BR","5.7"
"4 BULK BASTA TK50","98.96"
"80 BAG   THIANOSAN TECNICO TETRAMETHYLTHIURAM DISULFITE THIRAM","42.76"
"40 FOLHA DE POLIETILENE 40 IBC DE PLASTICA FLEXIVEL UN 13H2 FENOXAPROP TC 1X360 ENVIRONMENTALLY HAZARDOUS SUBSTANCE FENOXAPROP-P-ETHYL","16.85"
"120 PALETAS 20 IBC DE PLASTICA FLEXIVEL UN 13H4 TRIFLOXYSTROBIN TC ENVIRONMENTALLY HAZARDOUS SUBSTANCE TRIFLOXYSTROBIN","64.9"
"100 PX IBC DE MATERIA PLASTICA FLEXIVEL UN TRIFLOXYSTROBIN TC ENVIRONMENTALLY HAZARDOUS SUBSTANCE TRIFLOXYSTROBIN","54.08"
"100 PALLETS 20 IBC FLEXIBLE PLASTICS UN 13H4   TRIFLOXYSTROBIN TC ENVIRONMENTALLY   HAZARDOUS SUBSTANCE TRIFLOXYSTROBIN","54.08"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 40 PACKAGE (S) QLAIRA FTB 1X28 BR 1 PALLET","13.01"
"ONE 40´ X 8´ X 8´6"" GENERAL PU SLAC 2,520 BAGS ANTRACOL 700 WP","66.71"
"40 PALETAS 40 FOLHA DE POLIETILENE 1120 CAIXAS DE CARTAO UN 4G FORDOR WG75 ENVIRONMENTALLY HAZARDOUS SUBSTANCE ISOXAFLUTOLE MIXTURE","13.33"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 26 PACKAGE (S) ADVANTAGE MAX 3 1X1 0 ML IMO-CLASS 9 UN-NUMBER 3082 ENVIRONMENTALLY HAZARDOUS  SUBSTANCE, LIQUID, N.O.S.(EMODEPSIDE)  IMO-CLASS 9","1.63"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 42 PACKAGE 7 PALLET, HEAT TREATED 245 FIBREBOARD BOXES BAYTRIL FLAVOUR TABL 50 MG 6 PALLET, HEAT TREATED 180 FIBREBOARD BOXES ADVOCATE HUND 1X0.4 ML 1 PALLET, HEAT TREATED 20 FIBREBOARD BOXES ADVOCATE HUND 1X0.4 ML 3 PALLET, HEAT TREATED 48 FIBREBOARD BOXES ADVANTAGE MAX 3 3 X 0,4 ML 1 PALLET, HEAT TREATED 13 FIBREBOARD BOXES ADVANTAGE MAX 3 3 X 0,4 ML 3 PALLET, HEAT TREATED 48 FIBREBOARD BOXES ADVANTAGE MAX 3 3 X 1,0 ML 1 PALLET, HEAT TREATED 12 FIBREBOARD BOXES ADVANTAGE MAX 3 3 X 1,0 ML 1 PALLET, HEAT TREATED 12 FIBREBOARD BOXES BAYTRIL FLAVOUR TABL 250MG 8 PALLET, HEAT TREATED 240 FIBREBOARD BOXES ADVOCATE HUND 1X4.0 ML 1 PALLET, HEAT TREATED 29 FIBREBOARD BOXES ADVOCATE HUND 1X4.0 ML 9 PALLET, HEAT TREATED 864 FIBREBOARD BOXES DRONTAL F WELPEN 20 ML 1 PALLET, HEAT TREATED 12 FIBREBOARD BOXES DRONTAL F WELPEN 20 ML 1 FIBREBOARD BOXES DRONTAL F WELPEN 20 ML","3.7"
"4 BULK BASTA TK50","99"
"28 FIBC LOADED ONTO 26 PALLETS LOADED INTO 1 40´CONTAINER(S) PONCHO TECNICO","15.13"
"2X40HC CONTAINER(S) SAID TO CONTAIN: REGULATED 720 FIBREBOARD BOXES IN 40 PALLE TS ALIETTE IMP WP80 BAG BR (FUNGICIDE)","23.42"
"1 X 20?´ST CONTAINER TOTAL 100 FIBRE DRUMS ONLY TOTAL ONE HUNDRED FI:BRE DRUMS ONLY 100 FIBRE DRUMS PACKED IN 10 PALLET BETA-CYFLUTHRIN TEC:HNICAL BULLDOCK","6.99"
"1 X 20?´ST CONTAINER TOTAL 224 FIBER DRUMS ONLY TOTAL TWO HUNDRED TWE:NTY FOUR FIBER DRUMS ONLY 224 FIBER DRUMS PACKED IN 28 PALLETS DELTAME:THRIN TECH 98% MIN DECIS TECNICO BCS","7.26"
"1 X 40 ST CONTAINER TOTAL 200 FIBRE DRUMS ONLY TOTAL TWO HUNDRED FIB RE DRUMS ONLY 200 FIBRE DRUMS PACKED IN 20 PALLET BETA-CYFLUTHRIN TECH NICAL BULLDOCK TECNICO BCS 1X60KG DRM BR 20 PALLET","13.92"
"1-40 FT. HIGH CUBE CONTAINER SAID TO CONTAIN 60 DRUMS ON 15 CP-1 PALLETS EWALAN 30-PA (WOOL FAT PH. EUR. 9) PREMIUM -HARMLESS","12.66"
"2X20 CONTAINER 40 BAGS IN 40 PALLETS IMIDACLOPRID 70 WG EVI DENCE WG 70 IMCO CLASS 9 UN NO 3077 PACKI NG GROUP III","25.51"
"IMIDACLOPRID TC CLASS 9 UN 3077","20.12"
"150 BARREL PACKED IN 30 PALLETS ALPHA CYPERMETHRIN TECHNICAL ALFACIP:ERMETRINA TECNIC FASTAC TECH","9.4"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 24 PACKAGE (S) ULTRAVIST 300 BT 10X50ML","5.69"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 27 PACKAGE (S) EU (IPPC-STA 1 SHIPPER-BOX NO7 AZELAN GEL TUBE 15% 30G BR","5.33"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 29 PACKAGE (S) EUROPOOL 832 WELLPAPPKISTE W1","3.02"
"36 BAG ON 18 PALLETS 13H2 UN3077, ENVIRONMENTALLY HAZARDOUS SUBSTANCE HAZARDOUS SUBSTANCE, SOLID, N.O.S. TEBUCONAZOLE CLASS 9, PGIII","18.61"
"5-40´ CONTAINERS 800 DR CONTAINING UN2757, CARBAMATE PESTICIDE SOLID TOXIC THIODICARB CL 6.1, PG II","85.07"
"ONE 20´ X 8´ X 8´6"" REEFER CON SLAC 1 IBC NON HAZARDOUS CARGO VOTIVO PRIME FS240 1X500L","0.67"
"80 BG ON 20 PALLETS 13H2   UN3077, ENVIRONMENTALLY   HAZARDOUS SUBSTANCE,   SOLID, N.O.S. TEBUCONAZOLE CLASS 9, PGIII","41.36"
"1X20 FCL CONTAINER 08 COMP OSITE PACKAGINGS ONLY. CYP ERMETHRIN TECHNICAL CYPERM ETHRIN TECH 93% MIN 50,50 02 PALLETS HAZ DETAILS: UN NO: 3352, CLASS:6.1, PG: III","1.87"
"ONE 20´ X 8´ X 8´6"" GENERAL PU SLAC 14 PACKAGES WITH 56 PDRUMS CONTAINING: EMULSOGEN EL 400,220","13.64"
"60 FIBC LOADED ONTO 40 PALLETS LOADED INTO 1 40´CONTAINER(S) ALL PALLETS ARE HEAT TREATED","32.42"
"80 FIBC 40 PALLETS LOADED INTO 1 40´CONTAINER(S) BIXAFEN ALL PALLETS ARE HEAT TREATED","43.26"
"1 40´CONTAINER(S) 25 PALLETS LOADED INTO SPIRODICLOFEN TC","13.52"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 43 PACKAGE ADVOCATE KATZE DRONTAL PLUS XL FLAVOUR DRONTAL PLUS XL FLAVOUR BAYTRIL FLAVOUR","2.49"
"13 PALLETS 52 STEEL DRUMS MERKUR WOP 240 HARMLESS","10.6"
"200 FIBC LOADED ONTO 40 PALLETS LOADED INTO 1 40´CONTAINER(S) PROLINE TECNICO","108.16"
"50 FIBC BELT TC","27.01"
"80 FIBC LOADED ONTO 40 PALLETS LOADED 1 40´CONTAINER(S PROLINE TECNICO ALL PALLETS ARE HEAT TREATED","43.26"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 46 PACKAGE WELLPAPPKISTE","11.48"
"4 BLK BASTA TK50 1X25000KG TAN BR","98.82"
"2 PALLET ALUMINIUM MICRON","1.2"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 32 PACKAGE 992 WELLPAPPKISTE W1 ASPIRINA PREVENT 0,1G 3 X 10 ST 1 WOODEN PALLET EUROPOOL 22 WELLPAPPKISTE W1 C ASPIRINA PREVENT 0,1G 3 X 10 ST 1 WELLPAPPKISTE W1 C2 ASPIRINA PREVENT 0,1G 3 X 10 ST","3.16"
"80 FIBC LOADED ONTO 40 PALLETS LOADED INTO 1 40´CONTAINER(S) BELT TC ALL PALLETS ARE HEAT TREATED","43.22"
"4 BLK BASTA TK50 1X25000KG TAN BR","98.86"
"40 BAGS LOADED ONTO 40 PALLETS LOADED INTO 1 40´CONTAINER(S) EVIDENCE (SPRAY)","21.69"
"18 MINI TANKS BAYFOLAN COBRE AGRICULTURAL PRODUCT","46.26"
"40 BAG ON 20 PALLETS 13H2 UN3077, ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N.O.S. (METRIBUZIN) CLASS 9, PGIII","20.69"
"ONE 20´ X 8´ X 8´6"" GENERAL PU SLAC 20 BAGS SENCOR TECNICO BAG METRIBUZIN","10.34"
"4 40´ CONTAINERS CONTAINING 640 RO UN2757, CARBAMATE PESTICIDE, SOLID, TOXIC(THIODICARB MIXTURE) CL 6.1, PG III,","75.84"
"30 PACKAGE SERENADE 4X5L BOT BR","21.13"
"05 20´ X 8´ X 8´6"" GENERAL PU SLAC 50 PALLETS PERIDIAM QUALITY 306 1X1000L IBC BR","62.75"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 44 PACKAGE ENROFLOXACINA ADVANTAGE MAX PROFENDER","7.23"
"120 ZU PROLINE TECNICO UMWELTGEFAEHRDENDER STOFF, FEST,   N.A.G.PROTHIOCONAZOL   UN 3077, PG III","64.9"
"200 ZU PROLINE TECNICO UMWELTGEFAEHRDENDER STOFF, FEST,   N.A.G.PROTHIOCONAZOL   UN 3077, PG III","108.16"
"38 PALLETS PACKED IN CORRUGATED WHITE CARTON BOX  PLASTIC DRUMS NET 25KGS PER BOX,DRUM CALCIUM GLUCONATE EP CALCIUM -D-SACCHARATE USP","19.41"
"EMPTY CANS","5.28"
"60 ALETAS 20 FOLHA DE POLIETILENE 560 CAIXAS DE CARTAO UN 4G   PROVENCE WG75 ISOXAFLUTOLE MIXTURE","20"
"20 FOLHA DE POLIETILENE . 560 CAIXAS DE CARTAO UN 4G FORDOR WG75","6.67"
"200 FIBC LOADED ONTO 40 PALLETS LOADED INTO 1 40´CONTAINER(S) PROLINE TECNICO","108.16"
"3 40´CONTAINER(S) 120 ZU PROLINE TECNICO 1X500KG FBC BR CLASS 9 UMWELTGEFAEHRDENDER STOFF, FEST N.A.G.PROTHIOCONAZOL UN 3077, PG III","64.9"
"1 40´CONTAINER(S) EVIDENCE (SPRAY)","21.69"
"5 PALETAS FOLHA DE POLIETILENE 120 CAIXAS DE CARTAO UN 4G ALION SC500 4X5L BOT BR","3.23"
"4 40´CONTAINER(S) 130 BG EVIDENCE (SPRAY) WG70 1X500KG FBC ALL PALLETS UMWELTGEFAEHRDENDER STOFF, FEST,   N.A.G.IMIDACLOPRID GEMISCH   UN 3077, PG III","70.49"
"1 FOLHA DE POLIETILENE 37 CAIXAS DE CARTAO UN 4G FORDOR WG75 10X1KG BAG BR","12.15"
"72 CARTON BOX LADIES GARMENTS AND ACCESSORIES","0.73"
"36 BAG FUNGICIDE HAZARDOUS UN3077, ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N.O.S. (TEBUCONAZOLE), 9, III,","18.61"
"36 BAG FUNGICIDE UN3077, ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N.O.S. (TEBUCONAZOLE), 9, III","18.61"
"36 BAG FUNGICIDE UN3077, ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID N.O.S. (TEBUCONAZOLE), 9, III, MARINE POLLUTANT","18.61"
"36 BAG FUNGICIDE UN3077, ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N.O.S. (TEBUCONAZOLE), 9, III,","18.61"
"(TWENTY SEVEN) COMPOSITE PACKAGINGS ONLY CYPERMETHRIN TEC H. MIN 92%","6.92"
"2,378 CARTON   ( 1476 CARTONS = 1476 CARTONS)   ACCESSORY FOR LETTERING MACHINE","8.95"
"30 PACKAGE SERENADE 4X5L BOT BR","21.13"
"1X40HC CONTAINER(S) SAID TO CONTAIN 720 BOX FIBREBOARD BOXES IN 40 PALLET S ALIETTE IMP (FUNGICIDE)","11.71"
"ONE 20´ X 8´ X 8´6"" GENERAL PU SLAC 14 PACKAGES WITH 56 PDRUMS CONTAINING: EMULSOGEN EL 400,220","13.64"
"83 PX ISOXADIFEN-ETHYL   (DE) TC 1X50KG DRM WW UN 3077, ENVIRONMENTALLY   HAZARDOUS SUBSTANCE,   SOLID, N.O.S.   (ISOXADIFEN-ETHYL), 9,   III","41.61"
"2 TANK BASTA TK50 1X25000KG TAN BR","49.49"
"120 BG 3 CONTAINER(S) EVIDENCE (SPRAY) WG70 1X500KG FBC BR","65.06"
"2 40´CONTAINER(S) 40 BG EVIDENCE (SPRAY) WG70 1X500KG FBC BR CLASS 9 UMWELTGEFAEHRDENDER STOFF, FEST,   N.A.G.IMIDACLOPRID GEMISCH   UN 3077, PG III","21.69"
"4 TNK BASTA TK50 1X25000KG TAN BR","99.15"
"54 FIBC PONCHO TECNICO","29.18"
"20 PALLETS FEEDING STUFF","11.26"
"CONTAINS 60 DRUM 1X40´HQ SAID TO CONTAIN ON 15 CP-1 PALLETS EWALAN 30-PA (WOOL FAT PH. EUR. 8)  PREMIUM -HARMLESS-, HS","12.66"
"6 PALETAS . 240 CAIXAS DE CARTAO UN 4G ESPLANADE SC500 12X1L BOT BR UN 3082, ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, N.O.S. (INDAZIFLAM SOLUTION), 9, III","3.69"
"18 IBC CONTAINER LOADED INTO 1 40´CONTAINER(S) PREVICUR N TECH TK71,89 1X1000KG IBC BR","19.17"
"54 MINI-TANKS BAYFOLAN COBRE AGRICULTURAL PRODUCT CLASS 9, UN 3082,PG III MARINE POLLUTANT","69.39"
"20 PALLETS PIONIER01 WHITE VASELINE USP","14.92"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 21 PACKAGE (S 1 PALETTE - EU - (IPPC-STA 1 SHIPPER-BOX NO7","3.97"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 36 PACKAGE (S) 480 CARDBOARD BOX ALLURENE TAB 2X14 BR 1 PALLET 25 CARDBOARD BOX ALLURENE TAB 2X14 BR 1 CARDBOARD BOX ALLURENE TAB 2X14 BR 1 THERMO-WFKVERSAND PMR:01 3 WELLPAPPKISTE W1 C2 ADEMPAS 1.5MG 42TABL 2 PALLET 64 CARDBOARD BOX QLAIRA FTB 1X28 SMP BR 1 PALLET 16 CARDBOARD BOX QLAIRA FTB 1X28 SMP BR 1 CARDBOARD BOX QLAIRA FTB 1X28 SMP BR 2 PALLET 64 CARDBOARD BOX QLAIRA FTB 1X28 SMP BR 1 PALLET 4 CARDBOARD BOX QLAIRA FTB 1X28 SMP BR 1 CARDBOARD BOX QLAIRA FTB 1X28 SMP BR 5 PALLET 160 CARDBOARD BOX QLAIRA FTB 1X28 SMP BR  1 PALLET  19 CARDBOARD BOX QLAIRA FTB 1X28 SMP BR  1 CARDBOARD BOX QLAIRA FTB 1X28 SMP BR  3 PALLET  96 CARDBOARD BOX QLAIRA FTB 1X28 SMP BR  1 PALLET  8 CARDBOARD BOX QLAIRA FTB 1X28 SMP BR  1 CARDBOARD BOX QLAIRA FTB 1X28 SMP BR  2 PALLET  64 CARDBOARD BOX QLAIRA FTB 1X28 SMP BR  1 PALLET  31 CARDBOARD BOX QLAIRA FTB 1X28 SMP BR  1 CARDBOARD BOX QLAIRA FTB 1X28 SMP BR","7.15"
"ONE 20´ X 8´ X 8´6"" GENERAL PU SLAC 5 PALLETS PERIDIAM QUALITY 306 1X1000L IBC BR","6.26"
"TRICHLORFON POWDER 97% (SANONDA)","16.2"
"40 BAG THIANOSAN TECNICO 500 KG BIG BAG TETRAMETHYLTHIURAM DISULFITE (TIRAM) # MINIMO DE 980 G,KG","21.38"
"2 TNK BASTA TK50 1X25000KG TAN BR","49.55"
"2 40´CONTAINER(S) 80 ZU PREMIER TECNICO 1X500KG FBC BR CLASS 9   UMWELTGEFAEHRDENDER STOFF, FEST,   N.A.G.IMIDACLOPRID   UN 3077, PG III","43.22"
"4 TNK BASTA TK50 1X25000KG TAN BR","98.85"
"50 FIBC LOADED ONTO 40 PALLETS LOADED INTO 1 40´CONTAINER(S) TEMBOTRIONE TC FBC BR ALL PALLETS ARE HEAT TREATED","22.05"
"4 PALLETS WITH 16 DRUMS ALMOND OIL, REFINED HARMLESS","3.33"
"40 PALLETS LOADED 1 40´CONTAINER(S) ALSYSTIN TECNICO 1X500KG FBC BR","21.63"
"20 BAG THIANOSAN TECNICO TETRAMETHYLTHIURAM DISULFITE (TIRAM) ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID THIRAM)","10.69"
"4 TANK BASTA TK50","98.95"
"1X20 FCL CONTAINER 14 COMP OSITE PACKAGINGS ONLY ON0 4 PALLETS CYPERMETHRIN TEC HNICAL CYPERMETHRIN","3.27"
"EACH WITH 12X1 LT TOTAL 10,000 LT DEORO EC","28.12"
"1X20ST, 1X40ST CONTAINER SAID TO   CONTAIN:ETHIPROLE (HANGZHOU) TC","25.78"
"34 PALLETS  CALCIUM GLUCONATE PACKED IN CORRUGATED WHITE CARTON BOX  NET 25KGS PER BOX  TOTAL 576 CARTON BOXES,40 PLASTIC DRUMS  PLACED ON 34 HEAT TREATED PALLETS  CALCIUM GLUCONATE EP  (FOR INJECTION)  CALCIUM GLUCOHEPTONATE EP","17.68"
"120 FIBC PREMIER TECNICO HEAT TREATED UMWELTGEFAEHRDENDER STOFF, FEST,   N.A.G.IMIDACLOPRID   UN 3077, PG III","64.84"
"1 40´CONTAINER 40 FIBC LOADED ONTO 40 PALLETS PREMIER TECNICO CLASS 9 UMWELTGEFAEHRDENDER STOFF, FEST, N.A.G.IMIDACLOPRID UN 3077, PG III","21.61"
"40 PALLETS LOADED INTO 1 40´CONTAINER(S) PREMIER TECNICO 1X500KG FBC BR ALL PALLETS ARE HEAT TREATED UN 3077, PG III","21.61"
"180 BAG THIANOSAN TECNICO TETRAMETHYLTHIURAM   DISULFITE (TIRAM) UN 3077 ENVIRONMENTALLY   HAZARDOUS SUBSTANCE, SOLID   N.O.S.,(THIRAM)","96.2"
"5 PALLET FIBREBOARD BOXES   HUSSAR WG20   12X600GR BOT BR","1.9"
"1 20´CONTAINER(S) 8 PALLETS LOADED INTO 168 BAGS ANTRACOL 700 WP","4.45"
"40 BAG THIANOSAN TECNICO TETRAMETHYLTHIURAM   DISULFITE (TIRAM) UN 3077 ENVIRONMENTALLY   HAZARDOUS SUBSTANCE, SOLID   N.O.S., (THIRAM) 9 III","21.38"
"1 X 20?  FCL CONTAINERS 20 WOODEN PALLET:S 80 EIGHTY PE LINED MS DRUMS ONLY","20.46"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 39 PACKAGE (S) 1 PALETTE - EU - (IPPC-STA 1 SHIPPER-BOX NO7 ADVANTAN MILK TUBE 0.1%","6.71"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 32 PACKAGE (S) 2 PALLET, HEAT TREATED 96 FIBREBOARD BOXES","1.86"
"TRICHLORFON POWDER 97% (SANONDA) PACKING 25KGS,CARTON","16.2"
"ONE 20´ X 8´ X 8´6"" GENERAL PU SLAC 3 PALLETS PERIDIAM QUALITY 307 1X1000L IBC BR","3.48"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 44 PACKAGE (S 43 WOODEN PALLET (EUROPOOL 1376 WELLPAPPKISTE W1","5.27"
"ONE 40´ X 8´ X 9´6"" REEFER CON SLAC 31 PACKAGE (S) 4 PALLET 128 CARDBOARD BOX","10.14"
